matchid,player_id,name,position,role,team,fpoints_projected,bat_fpoints,ball_fpoints,team_fpoints,runs_projected,wickets_projected,matchnumber,opponent
89654,1447,Ajinkya Rahane,BATSMEN,BATSMEN,CSK,23.724999999999998,23.724999999999998,0.0,0.0,68.5,0.0,1.0,RCB
89654,11195,Shivam Dube,ALL ROUNDER,ALL ROUNDER,CSK,8.000538734916898,2.9625,5.038038734916898,0.0,10.25,0.8396731224861497,1.0,RCB
89654,18504,Maheesh Theekshana,BOWLER,BOWLER,CSK,8.40122608005989,0.0,8.40122608005989,0.0,0.0,1.4002043466766485,1.0,RCB
89654,9863,Mustafizur Rahman,BOWLER,BOWLER,CSK,11.24075917673805,0.0,11.24075917673805,0.0,0.0,1.873459862789675,1.0,RCB
89654,8683,Shardul Thakur,BOWLER,BOWLER,CSK,9.439358798407412,0.0,9.439358798407412,0.0,0.0,1.5732264664012352,1.0,RCB
89654,11777,Ajay Jadav Mandal,ROOKIE ,BOWLER,CSK,0.239999999976,0.0,0.239999999976,0.0,0.0,0.039999999996,1.0,RCB
89654,13184,Mukesh Choudhary,ROOKIE ,BOWLER,CSK,2.639861563922682,0.0,2.639861563922682,0.0,0.0,0.439976927320447,1.0,RCB
89654,10100,Mitchell Santner,ALL ROUNDER,ALL ROUNDER,CSK,1.9199854954419866,0.0,1.9199854954419866,0.0,0.0,0.31999758257366445,1.0,RCB
89654,11307,Tushar Deshpande,ROOKIE ,BOWLER,CSK,3.8393485401508833,0.0,3.8393485401508833,0.0,0.0,0.6398914233584806,1.0,RCB
89654,22571,Shaik Rasheed,ROOKIE ,BATSMEN,CSK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RCB
89654,9838,Devon Conway,WICKET KEEPER,WICKET KEEPER,CSK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RCB
89654,22576,Nishant Sindhu,ROOKIE ,ALL ROUNDER,CSK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RCB
89654,12805,Prashant Solanki,ROOKIE ,BOWLER,CSK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RCB
89654,14599,RS Hangargekar,ROOKIE ,BOWLER,CSK,0.7199997839451677,0.0,0.7199997839451677,0.0,0.0,0.1199999639908613,1.0,RCB
89654,14163,Simarjeet Singh,ROOKIE ,BOWLER,CSK,0.239999999976,0.0,0.239999999976,0.0,0.0,0.039999999996,1.0,RCB
89654,14700,Sameer Rizvi ,ROOKIE ,BATSMEN,CSK,8.275,8.275,0.0,0.0,27.5,0.0,1.0,RCB
89661,13497,Ashutosh Sharma,ROOKIE ,BATSMEN,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DC
89661,6322,Harpreet Singh Bhatia,ROOKIE ,BATSMEN,KXIP,1.8125,1.8125,0.0,0.0,7.25,0.0,1.0,DC
